1,¿Cuándo tuvo lugar la primera Copa Mundial de Fútbol?,A- En 1920,B- En 1930,C- En 1940,D- En 1950,B
2,¿Quién es el máximo goleador de la historia de la Copa Mundial de Fútbol?,A- Miroslav Klose,B- Ronaldo Nazario,C- Gerd Müller,D- Pelé,A
3,¿Qué animal fue el escogido para ilustrar la mascota del Mundial de Rusia?,A- Un perro,B- Un gato,C- Un lobo,D- Un loro,C
4,Hablando de mascotas, ¿cuál de estas mascotas no pertenece a la historia del Mundial?,A- Fuleco, B- Footix,C- Naranjito,D- TopTip,D
5,¿A qué futbolista se conoce con el apodo de Harry Potter?,A- Luis Arturo Hernández Carreón,B- Diego Maradona,C- Just Fontaine,D- Ricardo Quaresma,D
6,¿Dónde tendrá lugar la Copa Mundial de Fútbol de 2022?,A- En Australia,B- En Qatar,C- En Islandia,D- En Suiza,B
7,¿Qué empresa fabrica el cuero con el que se juega el mundial?,A- Pedro del Hierro,B- Puma,C- Nike,D- Adidas,D
8,¿Cuántos mundiales de fútbol ha ganado España?,A- 1,B- 2,C- 3,D- 4,A
9,¿Recuerdas dónde se jugó la Copa del Mundial del año 2010?,A- En Italia,B- En Sudáfrica,C- En Brasil,D- En Estados Unidos,B
10,¿Qué jugador fue asesinado tras marcarse un gol en propia puerta?,A- Lucas Molina,B- Fabio Tornaro,C- Andrés Escobar,D- Pietro Bastov,C
11,¿Qué equipo ganó el mundial en 1986?,A- Argentina,B- Italia,C- Francia,D- Alemania,A
12,¿Qué nombre recibe el balón oficial del Mundial?,A- Mannschaft,B- Telstar,C- Bildo,D- Ballstar,B
